ID,SKU,Nombre,Slug,Descripción,Descripción Corta,Marca,Categoría ID,Categoría Nombre,Categoría Slug,Subcategoría,Precio Oferta (CLP),Precio Original (CLP),Descuento %,Precio Mayorista 10+ (CLP),Rating (1-5),N° Reseñas,Stock,Vendidos,Disponibilidad,Peso Kg,Certificado SEC,Garantía,Es Oferta Flash,Es B2B,Es Nuevo,Es Destacado,Es BestSeller,Tags,Specs (JSON),Specs Texto,Tier Prices (JSON),Imagen Principal,Imagen Secundaria,URL Producto,Precio Formateado
p001,LED-PRO-200W-IP66,Proyector LED 200W IP66 Luz Fría 6500K Alta Potencia SEC,proyector-led-200w-ip66,"Proyector LED de alta eficiencia para exterior, carcasa de aluminio inyectado, driver Mean Well incluido. Ideal para canchas, galpones y fachadas industriales. Vida útil 50.000 horas.",Proyector LED 200W IP66 6500K - Uso industrial,StarLight Pro,iluminacion-led-neon,Iluminación LED & Neón Flex,iluminacion-led-neon,Proyectores LED,45990,69990,34,38990,4.8,342,120,890,En Stock,3.2,SÍ,2 años,SÍ,NO,NO,SÍ,SÍ,"proyector, ip66, exterior","{""Potencia"":""200W"",""Lúmenes"":""28.000 lm"",""IP"":""IP66"",""Voltaje"":""85-265V"",""Temperatura"":""6500K""}","Potencia: 200W | Lúmenes: 28.000 lm | IP: IP66 | Voltaje: 85-265V | Temperatura: 6500K","[{""minQty"":1,""maxQty"":4,""price"":45990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":41990,""label"":""5-9 unidades""},{""minQty"":10,""price"":38990,""label"":""10+ unidades (Mayorista)""}]",/Proyector LED 200W IP66 Luz Fria 6500K Alta Potencia SEC.png,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600&h=600&fit=crop,/producto/proyector-led-200w-ip66,$45.990
p002,NEON-FLEX-12V-RGB-5M,Cinta Neón Flex 12V RGB 5 Metros + Control Remoto IP65,cinta-neon-flex-rgb-5m,"Neón Flex de silicona flexible, corte cada 2.5cm, 120 LEDs/m, incluye control RF y fuente 12V 5A.",Neón Flex RGB 12V 5m IP65 + Control Remoto,FlexNeon,iluminacion-led-neon,Iluminación LED & Neón Flex,iluminacion-led-neon,Cintas LED & Neón Flex,18990,29990,37,15990,4.6,521,340,1240,En Stock,0.8,SÍ,1 año,SÍ,NO,NO,SÍ,NO,"neon, rgb, flexible","{""Voltaje"":""12V DC"",""Largo"":""5m"",""LEDs"":""600 SMD2835"",""IP"":""IP65"",""Control"":""RF 44 teclas""}","Voltaje: 12V DC | Largo: 5m | LEDs: 600 SMD2835 | IP: IP65 | Control: RF 44 teclas","[{""minQty"":1,""maxQty"":9,""price"":18990,""label"":""1-9 rollos""},{""minQty"":10,""price"":15990,""label"":""10+ rollos""}]",/Cinta Neón Flex 12V RGB 5 Metros-Control Remoto IP65.png,https://images.unsplash.com/photo-1492684223066-81342ee5ff30?w=600&h=600&fit=crop,/producto/cinta-neon-flex-rgb-5m,$18.990
p003,MULT-FLKE-117-TRUE,Multímetro Digital True RMS Fluke 117 Profesional Electricista,multimetro-fluke-117-true-rms,"Multímetro diseñado para electricistas comerciales e industriales. True RMS, VoltAlert, medición de frecuencia y capacitancia. CAT III 600V.",Multímetro True RMS Fluke 117 CAT III 600V,Fluke,instrumentos-medicion,Instrumentos de Medición & Térmicos,instrumentos-medicion,Multímetros Digitales,189990,229990,17,189990,4.9,128,45,310,Stock Medio,0.6,SÍ,3 años,NO,SÍ,NO,NO,SÍ,"multimetro, fluke, true rms","{""Display"":""6000 cuentas"",""Precisión"":""0.5%"",""Alimentación"":""9V"",""CAT"":""CAT III 600V""}","Display: 6000 cuentas | Precisión: 0.5% | Alimentación: 9V | CAT: CAT III 600V",,https://images.unsplash.com/photo-1581092160562-40aa08e78837?w=600&h=600&fit=crop,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?w=600&h=600&fit=crop,/producto/multimetro-fluke-117-true-rms,$189.990
p004,CRIMP-HYD-16-300MM,Prensa Hidráulica 16 Ton 16-300mm² + 8 Dados Hexagonales,prensa-hidraulica-16ton,"Prensa hidráulica manual para terminales de cobre y aluminio. Fuerza 16 toneladas, cabezal giratorio 360°, incluye maletín.",Prensa Hidráulica 16T 16-300mm² 8 dados,HydraPress,herramientas-maquinarias,Herramientas & Maquinarias,herramientas-maquinarias,Prensas Hidráulicas,89990,129990,31,79990,4.7,89,28,156,Stock Medio,6.1,NO,1 año,SÍ,SÍ,NO,NO,NO,"hidraulica, crimpadora, terminales","{""Fuerza"":""16 Ton"",""Rango"":""16-300mm²"",""Peso"":""5.8kg"",""Dados"":""8 pares""}","Fuerza: 16 Ton | Rango: 16-300mm² | Peso: 5.8kg | Dados: 8 pares","[{""minQty"":1,""maxQty"":4,""price"":89990,""label"":""1-4""},{""minQty"":5,""price"":79990,""label"":""5+ (Contratista)""}]",/Prensa Hidraulica 16 Ton 16-300mm8 Dados Hexagonales.png,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc?w=600&h=600&fit=crop,/producto/prensa-hidraulica-16ton,$89.990
p005,TUBO-UVC-36W-G13,Tubo Germicida UV-C 36W G13 120cm Esterilización O3 Free,tubo-germicida-uvc-36w,"Tubo UV-C 254nm para esterilización de aire y superficies. Sin ozono, vidrio cuarzo, vida útil 9000h. Para purificadores y hospitales.",Tubo UV-C 36W G13 254nm 9000h sin ozono,Sterilux,tubos-lamparas-especiales,Tubos & Lámparas Especiales,tubos-lamparas-especiales,Tubos Germicidas UV-C,12990,18990,32,12990,4.5,67,210,430,En Stock,0.4,SÍ,6 meses,NO,NO,SÍ,NO,NO,"uvc, germicida, esterilizacion","{""Potencia"":""36W"",""Longitud"":""120cm"",""Base"":""G13"",""Vida"":""9000h""}","Potencia: 36W | Longitud: 120cm | Base: G13 | Vida: 9000h",,/Tubo Germicida UV-C 36W G13 120cm Esterilizacion O3 Free.png,,/producto/tubo-germicida-uvc-36w,$12.990
p006,EST-SOLD-JBC-245W,Estación de Soldado JBC CD-2BE 130W + Punta C245 Control PID,estacion-soldado-jbc-130w,"Estación profesional con calentamiento en 2 segundos, recuperación térmica instantánea, modo reposo y hibernación.",Estación Soldado JBC 130W PID C245,JBC,fuentes-poder-soldadura,Fuentes de Poder & Soldadura,fuentes-poder-soldadura,Estaciones de Soldado,349990,,,349990,4.9,44,18,92,Pocas Unidades,2.8,SÍ,2 años,NO,SÍ,NO,SÍ,NO,"estacion, soldado, jbc","{""Potencia"":""130W"",""Temp"":""90-450°C"",""Punta"":""C245"",""Alimentación"":""230V""}","Potencia: 130W | Temp: 90-450°C | Punta: C245 | Alimentación: 230V",,/Estación de Soldado JBC CD-2BE 130W Punta C245 Control PID.png,,/producto/estacion-soldado-jbc-130w,$349.990
p007,BATT-LITIO-18650-3000,Pack 4x Batería Litio 18650 3000mAh 15A Samsung 30Q Original,pack-bateria-18650-4un,"Celdas 18650 originales Samsung INR18650-30Q, alta descarga 15A, ideal para linternas, vape y power tools. Con estuche.",Pack 4x 18650 3000mAh Samsung 30Q 15A,Samsung SDI,pilas-baterias-cargadores,"Pilas, Baterías & Cargadores",pilas-baterias-cargadores,Pilas de Litio 18650/21700,15990,21990,27,15990,4.8,412,500,2100,En Stock,0.2,SÍ,6 meses,SÍ,NO,NO,NO,SÍ,"18650, litio, samsung","{""Capacidad"":""3000mAh"",""Descarga"":""15A"",""Voltaje"":""3.6V"",""Ciclos"":""250+""}","Capacidad: 3000mAh | Descarga: 15A | Voltaje: 3.6V | Ciclos: 250+",,/Pack 4x Bateria Litio 18650 3000mAh 15A Samsung 30Q.png,,/producto/pack-bateria-18650-4un,$15.990
p008,DISY-2P-32A-6KA,Disyuntor Termomagnético 2P 32A 6kA Curva C Riel DIN Schneider,disyuntor-2p-32a-schneider,"Disyuntor bipolar curva C, poder de corte 6kA, norma IEC60898. Para tableros domiciliarios e industriales.",Disyuntor 2P 32A 6kA Curva C Schneider,Schneider Electric,seguridad-control-electrico,Seguridad & Control Eléctrico,seguridad-control-electrico,Disyuntores & Diferenciales,6990,9900,29,5990,4.7,298,800,1850,En Stock,0.2,SÍ,1 año,NO,NO,NO,NO,SÍ,"disyuntor, termomagnetico, schneider","{""Polos"":""2P"",""Corriente"":""32A"",""Corte"":""6kA"",""Curva"":""C""}","Polos: 2P | Corriente: 32A | Corte: 6kA | Curva: C","[{""minQty"":1,""maxQty"":9,""price"":6990,""label"":""1-9""},{""minQty"":10,""maxQty"":49,""price"":5990,""label"":""10-49""},{""minQty"":50,""price"":4990,""label"":""50+ Mayorista""}]",/Disyuntor Termomagnetico 2P 32A 6kA Curva C Riel DIN Schneider.png,,/producto/disyuntor-2p-32a-schneider,$6.990
p009,CAM-TERM-FLIR-C5,Cámara Termográfica FLIR C5 WiFi 160x120 MSX -20 a 400°C,camara-termografica-flir-c5,"Cámara compacta con conectividad WiFi, FLIR Ignite Cloud, MSX y medición precisa. Para mantenimiento eléctrico y edilicio.",Cámara FLIR C5 160x120 WiFi MSX 400°C,FLIR,instrumentos-medicion,Instrumentos de Medición & Térmicos,instrumentos-medicion,Cámaras Termográficas,699990,,,699990,4.9,21,9,38,Pocas Unidades,0.9,NO,2 años,NO,SÍ,NO,SÍ,NO,"termografica, flir, mantenimiento","{""Resolución"":""160x120"",""Rango"":""-20 a 400°C"",""Precisión"":""±3°C"",""WiFi"":""Sí""}","Resolución: 160x120 | Rango: -20 a 400°C | Precisión: ±3°C | WiFi: Sí",,/Camara Termografica FLIR C5 WiFi 160x120 MSX -20 a 400C.png,,/producto/camara-termografica-flir-c5,$699.990
p010,PELAC-AUTO-0.2-6MM,Pelacables Automático 0.2-6mm² + Crimpador Terminales Ferrule,pelacables-automatico-0-2-6mm,"Pelacables autoajustable para cables 10-24 AWG, cuchillas de acero, crimpador integrado.",Pelacables Automático 0.2-6mm² + Crimpador,Knipex Style,herramientas-maquinarias,Herramientas & Maquinarias,herramientas-maquinarias,Pelacables & Alicates,12990,18990,32,12990,4.6,176,240,670,En Stock,0.3,NO,1 año,SÍ,NO,NO,NO,NO,"pelacables, ferrule, automatico","{""Rango"":""0.2-6mm²"",""AWG"":""10-24"",""Largo"":""210mm""}","Rango: 0.2-6mm² | AWG: 10-24 | Largo: 210mm",,/Pelacables Automatico 02-6mm Crimpador Terminales.png,,/producto/pelacables-automatico-0-2-6mm,$12.990
